ProductID,Name,ProductNumber,ListPrice,Size,Weight
863,"Full-Finger Gloves, L",GL-F110-L,37.99,L,
867,"Women's Mountain Shorts, S",SH-W890-S,69.99,S,
868,"Women's Mountain Shorts, M",SH-W890-M,69.99,M,
869,"Women's Mountain Shorts, L",SH-W890-L,69.99,L,
924,"LL Mountain Frame - Black, 42",FR-M21B-42,249.79,42,1324.48
925,"LL Mountain Frame - Black, 44",FR-M21B-44,249.79,44,1342.63
926,"LL Mountain Frame - Black, 48",FR-M21B-48,249.79,48,1360.77
927,"LL Mountain Frame - Black, 52",FR-M21B-52,249.79,52,1378.91
943,"LL Mountain Frame - Black, 40",FR-M21B-40,249.79,40,1306.34
949,LL Crankset,CS-4759,175.49,,600.0
950,ML Crankset,CS-6583,256.49,,635.0
951,HL Crankset,CS-9183,404.99,,575.0
977,"Road-750 Black, 58",BK-R19B-58,539.99,58,9430.14
989,"Mountain-500 Black, 40",BK-M18B-40,539.99,40,12405.69
990,"Mountain-500 Black, 42",BK-M18B-42,539.99,42,12596.19
991,"Mountain-500 Black, 44",BK-M18B-44,539.99,44,12759.49
992,"Mountain-500 Black, 48",BK-M18B-48,539.99,48,12891.03
993,"Mountain-500 Black, 52",BK-M18B-52,539.99,52,13008.96
997,"Road-750 Black, 44",BK-R19B-44,539.99,44,8967.47
998,"Road-750 Black, 48",BK-R19B-48,539.99,48,9130.77
999,"Road-750 Black, 52",BK-R19B-52,539.99,52,9262.31
